feature,importance
SPY_momentum_10d,0.27021485168813225
VIX_current,0.24616306534506768
SPY_momentum_5d,0.15943692429996906
VIX_change_1d,0.09957791257384078
VIX_change_5d,0.08962798635205112
SPY_volume_change_1d,0.06868989253141398
SPY_volume_change_5d,0.06628936720952522
